Categoria	Subcategoria	Tema
Matemática		Operaciones aritmeticas con enteros de longitud arbitraria
Matemática	Álgebra	Potenciacion logaritmica (binary lifting)
Matemática	Álgebra	Sumas de progresiones aritmeticas y geometricas con binary lifting
Matemática	Álgebra	Recurrencias lineales
Matemática	Álgebra	Sistemas de ecuaciones lineales (algoritmo de Gauss)
Matemática	Álgebra	Calculo de determinantes, matriz inversa (algoritmo de Gauss)
Matemática	Álgebra	Funciones generatrices
Matemática	Combinatoria y Probabilidad	Relacion entre combinatoria y probabilidad
Matemática	Combinatoria y Probabilidad	Principios de la suma y del producto
Matemática	Combinatoria y Probabilidad	Coeficientes binomiales / triangulo de pascal
Matemática	Combinatoria y Probabilidad	Bolitas y palitos
Matemática	Combinatoria y Probabilidad	Inclusion-exclusion
Matemática	Combinatoria y Probabilidad	"Linealidad de la esperanza / técnica ""contribution to the sum"""
Matemática	Combinatoria y Probabilidad	Distribución de la suma de dos variables aleatorias (convolucion)
Matemática	Combinatoria y Probabilidad	Convolucion rápida usando FFT
Matemática	Combinatoria y Probabilidad	Números de Catalan
Matemática	Combinatoria y Probabilidad	Cadenas de Markov
Matemática	Combinatoria y Probabilidad	Young Tableaux
Matemática	Teoría de números	Teorema fundamental de la aritmetica
Matemática	Teoría de números	Aritmetica modular
Matemática	Teoría de números	MCD (Algoritmo de euclides)
Matemática	Teoría de números	Inverso Modular (Con euclides extendido o con pequeño teorema de Fermat)
Matemática	Teoría de números	Teorema Chino del Resto
Matemática	Teoría de números	Producto de matrices
Matemática	Teoría de números	Chequeo de primalidad raiz(N)
Matemática	Teoría de números	Criba de eratostenes
Matemática	Teoría de números	Chequeo de primalidad eficiente probabilistico (Miller-Rabin)
Matemática	Teoría de números	Orden de un elemento en (N_p,*), raices primitivas
Matemática	Teoría de números	Funcion phi de Euler
Matemática	Teoría de números	Funciones multiplicativas, función de Mobius
Geometria		Vectores (Suma, Resta)
Geometria		Producto escalar
Geometria		Norma, distancia euclidea (pitagoras)
Geometria		Producto vectorial
Geometria		Area de triangulos / paralelogramos, detección de sentido de giro
Geometria		Area de poligonos
Geometria		Representaciones de recta, segmento, etc estilo lineal (vectores / puntos + direccion)
Geometria		Chequear si un punto esta en un poligono / en un segmento / en una recta / en un plano
Geometria		Chequear si esta en poligono convexo en lg N
Geometria		Chequear si está en un poligono no convexo en O(N)
Geometria		Teorema de Pick
Geometria		Compresion de coordenadas
Geometria		Par de puntos mas cercano en O(n lg n)
Geometria		Capsula convexa en O(n lg n)
Geometria		Par de puntos mas lejano en O(n lg n), O(n) dada ya la capsula convexa
Geometria		Rotating calipers
Geometria		Interseccion de dos segmentos
Geometria		Distancia entre dos segmentos
Geometria		Sweep Line (Es MUY importante la idea de sweep line / sweep circle / sweep sarasa)
Geometria		Dualidad punto / linea
Geometria		Interseccion circulo - circulo y circulo - recta
Geometria		Suma de Minkowski, aplicación a distancia entre polígonos convexos
Geometria		Convex Hull Trick
Geometria		Clasificar/contar puntos dominados/dominantes
Divide and conquer		Elemento mayoria en n lg n usando *solamente* comparaciones por igualdad entre elementos.
Divide and conquer		Par de puntos mas cercano en O(n lg n)
Divide and conquer		Strassen
Divide and conquer		Karatsuba
Divide and conquer		Greedies
Divide and conquer		Dar vuelto usando una cantidad minima de monedas
Divide and conquer		Ordenamiento de trabajos con distintos tiempos de ejecución para minimizar el tiempo de finalización promedio.
Divide and conquer		Optimo cubrimiento de intervalo por subintervalos.
Divide and conquer		Codigos de Huffman
Divide and conquer		"Maxima subsecuencia creciente (resolviendo ""mínima partición en subsecuencias no crecientes"" + Dilworth)"
Backtracking		Fuerza Bruta
Backtracking		Fuerza Bruta sobre permutaciones (next_permutation)
Backtracking		Backtracking con cantidad de pasos fija (for if for if for if)
Backtracking		Backtracking con cantidad de pasos variable (recursiva)
Backtracking		Backtracking sobre permutaciones (recursiva)
Backtracking		Backtracking sobre subconjuntos (recursiva)
Backtracking		"Optimización ""Branch & Bound"""
Backtracking		Problema de las N reinas
Backtracking		Cubrir un tablero con fichitas. (e.g. Codeforces 143E)
Backtracking		Sudoku
Teoría de juegos		Propiedad Universal de las posiciones P/G
Teoría de juegos		Cálculo con DP de posiciones ganadoras y perdedoras.
Teoría de juegos		Algoritmo minimax para juegos de suma cero de informacion perfecta.
Teoría de juegos		Idea de la criba para llenar tablitas como la anterior.
Teoría de juegos		Variante de la DP donde el que gana trata de ganar rápido y el que pierde de perder lento.
Teoría de juegos		Juegos combinatorios imparciales: Sumar de juegos.
Teoría de juegos		Nim. Misére Nim.
Teoría de juegos		Grundy Numbers, cálculo de los grundy numbers en tiempo lineal en el grafo, con DP. Grundy Number de una suma de juegos.
Teoría de lenguajes		Gramatica BNF
Teoría de lenguajes		Autómatas Finitos
Teoría de lenguajes		Expresiones Regulares
Teoría de lenguajes		"Parsing Recursivo Descendente predictivo (con ""prediccion artesanal"")"
Teoría de lenguajes		Gramaticas libres de contexto
Interactivos		"Problemas estilo ""descubrir el secreto"""
Interactivos		"Problemas estilo ""queries online"""
Interactivos		"Problemas estilo ""juego contra el juez"""
Interactivos		Heuristica de repartir parejo
Interactivos		Teoria de la informacion, bits, entropia
Permutaciones		Composicion
Permutaciones		Representacion de cosas como permutaciones (e.g. Rubik, o cualquier grupo)
Permutaciones		Transposiciones (swaps)
Permutaciones		Inversiones
Permutaciones		Contar inversiones en O(N log N) (con mergesort o con Fenwick tree)
Permutaciones		Ciclos
Permutaciones		Paridad (Mediante inversiones y mediante ciclos)
Truquitos	Estructuras de datos	Sumas de prefijos de cadenas de paréntesis balanceadas
Truquitos	Grafos	Al Reconstruir caminos, dar vuelta origen y destino (y trasponer el grafo si es dirigido) así al recorrer los padres queda el camino al derecho.
Truquitos	Matemática	Gauss rápido para matrices banda: Bidiagonales, Tridiagonales, Adyacencias en una grilla rectangular.
